Title	URL	Assignees	Status	Sprint	Task Type	Nature	Epic	concerning	Estimate (h)	Actual (h)
Create Itinerary: Title/Description screen	https://github.com/WanderWise-Inc/app/issues/271	gunnm0	Done in "Sprint #8"	Sprint 8	🚪 Frontend	🏎️ Sprint Task	🤖 technical	Itineraries	3	4
#ISSUE 216 Implement Profile using Firestore	https://github.com/WanderWise-Inc/app/issues/217	engjellismaili	Done in "Sprint #8"	Sprint 8	🍑 Backend	🏎️ Sprint Task	🤖 technical	Profile	7	7
Setup backend for offline mode	https://github.com/WanderWise-Inc/app/issues/213	ethangraham2001	Done in "Sprint #8"	Sprint 8	🍑 Backend	🏎️ Sprint Task	🤖 technical		10	9
Make the APK work	https://github.com/WanderWise-Inc/app/issues/234	ThomasPFMuller	Done in "Sprint #8"	Sprint 8	🍑 Backend	🏎️ Sprint Task	🤖 technical		3	2
Fix `signInScreen` that crashes application in offline mode	https://github.com/WanderWise-Inc/app/issues/218	ethangraham2001	Done in "Sprint #8"	Sprint 8	🍑 Backend			Sign In	2	3.5
Implement interaction between OpenStreetMap and backend	https://github.com/WanderWise-Inc/app/issues/233	ThomasPFMuller	Done in "Sprint #8"	Sprint 8	🍑 Backend	🏎️ Sprint Task	🤖 technical	Itineraries	3	5
make clicking on the finish button of Creation screen push itinerary to firebase + logic	https://github.com/WanderWise-Inc/app/issues/270	gunnm0	Done in "Sprint #8"	Sprint 8	🍑 Backend	🏎️ Sprint Task	🤖 technical	Itineraries	5	6
#ISSUE 216 Refactor UI to use Firestore Profile	https://github.com/WanderWise-Inc/app/issues/232	engjellismaili	Done in "Sprint #8"	Sprint 8	🚪 Frontend	🏎️ Sprint Task	🤖 technical	Profile	4	14
Issue#256 UI needed for starting a tracking	https://github.com/WanderWise-Inc/app/issues/239	imaneb942	Done in "Sprint #8"	Sprint 8	🚪 Frontend	🏎️ Sprint Task	🤖 technical	Itineraries	7	9
Issue#247 Implement the following your itinerary feature when it is picked	https://github.com/WanderWise-Inc/app/issues/240	imaneb942	Done in "Sprint #8"	Sprint 8	🚪 Frontend	📜 User Story	🤖 technical	Itineraries	5	5
Issue#256 Backend for path tracking	https://github.com/WanderWise-Inc/app/issues/238	imaneb942	Done in "Sprint #8"	Sprint 8	🍑 Backend	📜 User Story	🤖 technical	Itineraries	7	6
PRD		imaneb942	Done in "Sprint #8"	Sprint 8	🚪 Frontend	🏎️ Sprint Task	🧵 miscellaneous		2	2
Connect the ui and backend of tags creation screen		YofiY	Done in "Sprint #8"	Sprint 8	🚪 Frontend	🏎️ Sprint Task	🤖 technical	Itineraries	5	12
ISSUE#255 Refactor Sign In	https://github.com/WanderWise-Inc/app/issues/253	276746	Done in "Sprint #8"	Sprint 8			🤖 technical	Sign In	4	13
ISSUE#255 Refactor DI	https://github.com/WanderWise-Inc/app/issues/254	276746	Done in "Sprint #8"	Sprint 8			🤖 technical			
Make CreationPreview use real values of the itinerary being created	https://github.com/WanderWise-Inc/app/issues/272	gunnm0	Done in "Sprint #8"	Sprint 8	🚪 Frontend	🏎️ Sprint Task	🧵 miscellaneous	Itineraries	1	3
SCRUM master		YofiY	Done in Sprint # 9							
ISSUE#212 E2E test Preview logic	https://github.com/WanderWise-Inc/app/issues/280	276746	Done in Sprint # 9	Sprint 9		🏎️ Sprint Task	🤖 technical	Testing	4	0.5
ISSUE#212 E2E test Like logic	https://github.com/WanderWise-Inc/app/issues/278	276746	Done in Sprint # 9	Sprint 9		🏎️ Sprint Task	🤖 technical	Testing	3	5
ISSUE#244 Add an image to the ItineraryBanner	https://github.com/WanderWise-Inc/app/issues/259	engjellismaili	Done in Sprint # 9	Sprint 9	🚪 Frontend	🏎️ Sprint Task	🤖 technical	Itineraries	6	7
ISSUE#261 Correctly remove all reference to the Itinerary when it's deleted	https://github.com/WanderWise-Inc/app/issues/262	engjellismaili	Done in Sprint # 9	Sprint 9	🍑 Backend	🏎️ Sprint Task	🤖 technical	Itineraries	4	6
ISSUE#255 Refactoring DI	https://github.com/WanderWise-Inc/app/issues/267	276746	Done in Sprint # 9	Sprint 9		🏎️ Sprint Task	🤖 technical		4	6
Fix bugs with saving itineraries	https://github.com/WanderWise-Inc/app/issues/264	ethangraham2001	Done in Sprint # 9	Sprint 9	🍑 Backend				4	
Concretize offline-mode implementation	https://github.com/WanderWise-Inc/app/issues/276	ethangraham2001	Done in Sprint # 9	Sprint 9	🍑 Backend	🏎️ Sprint Task		Sign In	4	4
